வார்த்தைகள்,எண்ணிக்கை
என்று,68
அவர்,47
ஒரு,45
தன்,44
என்றார்,42
ஜனமேஜயன்,42
நான்,40
அவன்,36
அந்த,35
வைசம்பாயனர்,34
அது,31
ஆஸ்திகன்,29
என்,26
என,26
போல,24
வந்து,23
நீ,20
இந்த,20
அங்கே,20
எழுந்து,19
அவர்கள்,19
அதன்,18
வியாசர்,17
என்றான்,17
பரீட்சித்,17
உன்,16
அதை,15
நாகங்கள்,14
நீங்கள்,14
இருந்து,14
அவள்,14
தட்சன்,14
ஒவ்வொரு,13
கொண்ட,13
இருந்தது,12
பெயர்,12
வழியாக,12
அவரை,12
சென்று,11
ஒன்று,11
இருந்த,11
பெரிய,11
எனக்கு,11
ஆம்,10
அவை,10
மண்ணில்,10
மானசாதேவி,10
அவர்களின்,10
என்ன,10
உள்ளே,10
மெல்ல,10
சொன்னான்,10
அவரது,9
சிறிய,9
மட்டுமே,9
வந்த,9
மீண்டும்,9
இங்கே,9
உங்கள்,9
பின்பு,9
திரும்பி,9
கவிஜாதன்,9
அருகே,9
கொண்டு,9
வேள்வி,8
மீது,8
நோக்கி,8
அத்தனை,8
தங்கள்,8
என்ற,8
ஆனால்,8
நடுவே,8
உடல்,8
ஏழு,8
நின்ற,7
அவனை,7
கண்கள்,7
அணிந்த,7
முன்,7
மாபெரும்,7
கண்டான்,7
வெளியே,7
நின்று,7
இரு,7
சேர்ந்து,7
கேட்டான்,7
இல்லை,7
நின்றார்,7
அவளுடைய,7
அன்னை,7
இனி,7
கிடந்த,7
பைலரும்,6
நாள்,6
கண்டு,6
இப்போது,6
மைந்தன்,6
அவ்வாறே,6
தூக்கி,6
பாதை,6
வியாசரை,6
திகைத்து,6
வணங்கி,6
ஆரம்பித்தது,6
அனைத்தும்,6
மேலே,6
கரிய,6
அனைவரும்,6
மகாவியாசர்,6
சென்றான்,6
ஜைமினியும்,6
இதோ,6
குரலில்,5
முழுக்க,5
ஜனமேஜயனின்,5
கிடந்தது,5
குருநாதரே,5
என்னை,5
அன்னையின்,5
முனிவரின்,5
எட்டு,5
எடுத்து,5
இது,5
கோடானுகோடி,5
அன்று,5
அவளை,5
சென்ற,5
ஆயிரம்,5
கண்டார்,5
ஜரத்காரு,5
பிறந்த,5
உத்தங்கர்,5
குழந்தை,5
உனக்கு,5
மட்டும்,5
விரிந்த,5
கண்ட,5
கண்ணீர்,5
எழுந்த,5
அப்போது,5
செய்தது,5
கூவினார்,5
முன்னால்,5
அனைத்தையும்,5
என்றனர்,5
விதியின்,5
நடந்து,5
அப்பால்,5
அரண்மனை,5
தன்னை,5
கையில்,5
அமர்ந்து,5
விரித்து,5
இதை,5
இடம்,4
