,வாக்கியங்கள்
0,"வேசரதேசத்தில் கருநீல நீரோடும் கிருஷ்ணை நதிக்கரையில் புஷ்கரவனத்தில் நாகர்குலத் தலைவியான மானசாதேவி அந்தியில் குடில் முன்பு மண் அகலை ஏற்றிவைத்து, தனக்கு ஜரத்காரு ரிஷியில் பிறந்த ஒரே மகன் ஆஸ்திகனை மடியில் அமரச்செய்து கதை சொல்ல ஆரம்பித்தாள்"
1, நாகர்குலத்தவர் வாழும் சின்னஞ்சிறு மலைக்கிராமத்தை சுற்றிலுமிருந்த காட்டிலிருந்து வந்த கடும்குளிர் வளைத்துக்கொள்ள ஆரம்பித்திருந்த நேரம்
2, இரவுலாவிகளான மிருகங்களும் பறவைகளும் எழுப்பும் ஒலிகள் இணைந்து இருட்டை நிறைத்திருந்தன
3, பெரிய கண்கள் கொண்ட சிறுவன் தன் அன்னையின் மடியின் அணைப்பையும் தன் தலைமேல் படும் அவள் மூச்சின் வருடலையும் உணர்ந்தபடி முற்றம் வரை சென்று விழுந்து அங்கு நின்ற செண்பகத்தின் அடிமரத்தை தூண்போலக் காட்டிய அகல்விளக்கின் செவ்வொளிக்கு அப்பால் தெரிந்த இருட்டை பார்த்துக்கொண்டிருந்தான்
5,மானசாதேவி இருளைப்பற்றித்தான் சொல்ல ஆரம்பித்தாள்
6, இருள் முதல்முடிவற்றது
7, தொடக்கத்தில் அதுமட்டும்தான் இருந்தது
8, வானகங்கள் அனைத்தும் அந்த இருளுக்குள்தான் இருந்தன
9, அந்த இருள் ஒரு மாபெரும் நாகப்பாம்பின் வடிவிலிருந்தது
10, கற்பனையும் கனவும் ஊழ்கமும் எட்டமுடியாத அளவுக்கு நீளம்கொண்ட அந்த நாகம் கண்களற்றது
11, ஏனென்றால் அது பார்ப்பதற்கென அதுவன்றி ஏதுமிருக்கவில்லை
12, அது தன் வாலை வாயால் கவ்வி விழுங்கி ஒரு பெரிய வளையமாக ஆகி அங்கே கிடந்தது
13, அந்த முதல்நாகத்துக்கு பெயர் இருக்கவில்லை
14, ஏனென்றால் அதை அழைக்க எவரும் இருக்கவில்லை
15, ஆகவே அது தன்னை நா அகம் என்று அழைத்துக்கொண்டது
16, நான் இல்லை என அதற்குப்பொருள்
17, அச்சொல்லின் ஒலிமரூவையே பிறர் நாகமென்று கொண்டனர்
19,அதன்பிறகு அதன் அகத்தில் ஒரு விழைவு பிறந்தது
20, அந்த விழைவு இரண்டு கண்களாக அதன் முகத்தில் திறந்தது
21, அந்தக் கண்களில் ஒன்று எரிந்து சுடர்விடும் செந்நிறமான ஆதித்யனாகவும் இன்னொன்று வெண்ணிற ஒளிவிடும் குளிர்ந்த சந்திரனாகவும் இருந்தன
22, அந்த விழிகளால் அந்த நாகம் தன்னைத்தானே பார்த்துக்கொண்டது
23, ‘இது நான்’ என சொல்லிக்கொண்டது
24, ‘இருக்கிறேன்’ என்று அறிந்தது
25, ‘இனி?’ என்று கேட்டுக்கொண்டது
26, அந்தச் சொற்கள் அதனுள் அகங்காரமாக மலர்ந்தபோது அதன் தலையில் படம் விரிய ஆரம்பித்தது
27, பின்பு பல்லாயிரம் கோடி தலைகள் முளைத்தெழுந்து படம்விரித்தன
28, அவற்றில் பலகோடி கண்கள் முளைத்தன
29, அவையெல்லாம் ஆதித்யர்களும் சந்திரர்களுமாக ஆகி இருளெங்கும் மின்ன ஆரம்பித்தன
30, அந்தத் தலைகளில் இருந்து நீண்டு பறந்த செந்நிறமான நாக்குகள் தழல்களாயின
32,குழந்தை குளிர்கொண்டவன் போல தன் உடலைச் சுருக்கி கைகளை காலிடுக்கில் செருகிக்கொண்டான்
33, அவன் அன்னை அவனுடைய மென்மயிர்பரவிய தலையை தன் கைகளால் வருடிக்கொண்டு சொல்ல ஆரம்பித்தாள்
35,அந்த முதல்நாகத்தின் உடல் என்றென்றும் அசைவே இல்லாமல்தான் கிடந்தது
36, ஏனென்றால் வானத்திலிருந்த இடத்தை முழுக்க அதுதான் நிறைத்திருந்தது
37, பலகோடி யுகங்களுக்குப்பின்னால் அது தனக்குள்ளேயே முதல் அசைவை நிகழ்த்திக்கொண்டது
